year,title,imdb_rating,imdb_rating_0_1,num_imdb_ratings,mpaa_rating,run_time_min,budget,domgross,intgross,budget_2013,domgross_2013,intgross_2013
2012,Skyfall,7.8,0.78,554913,PG-13,143,200000000,304360277,1108694081,202927713,308815675,1124923772
2012,Snow White and the Huntsman,6.1,0.61,242773,PG-13,127,170000000,155136755,400911200,172488556,157407735,406779965
2012,Sparkle,5.7,0.5700000000000001,5337,PG-13,116,10000000,24397469,24660323,10146386,24754613,25021315
2012,Spring Breakers,5.3,0.53,116035,R,94,5000000,14124286,30669531,5073193,14331045,31118489
2012,Step Up Revolution,6.5,0.65,48185,PG-13,99,33000000,35074677,165552290,33483073,35588120,167975738
2012,Supporting Characters,6.4,0.64,789,NOT RATED,87,60000,4917,4917,60878,4989,4989
2012,Ted,7,0.7,502110,R,106,50000000,218665740,549444574,50731928,221866693,557487654
2012,That's My Boy,5.6,0.5599999999999999,75808,R,116,67500000,36931089,58058367,68488103,37471707,58908258
2012,The Amazing Spider-Man,7,0.7,483747,PG-13,136,220000000,262030663,757890267,223220484,265866416,768984693
2012,The Avengers,8.1,0.8099999999999999,1061932,PG-13,143,60000000,23385416,48585416,60878314,23727745,49296637
2012,The Dark Knight Rises,8.4,0.8400000000000001,1249199,PG-13,164,275000000,448139099,1079343943,279025606,454699213,1095143990
2012,The Devil Inside,4.2,0.42000000000000004,31774,R,83,1000000,53261944,101758489,1014639,54041622,103248087
2012,The Dictator,6.4,0.64,229314,R,83,65000000,59650222,179379532,65951507,60523416,182005391
2012,The Expendables 2,6.6,0.6599999999999999,260846,R,103,100000000,85028192,311979256,101463857,86272883,316546185
2012,The Grey,6.8,0.6799999999999999,213853,R,117,25000000,51580136,84339696,25365964,52335195,85574308
2012,The Hobbit: An Unexpected Journey,7.9,0.79,678578,PG-13,169,250000000,303003568,1014703568,253659641,307439106,1029557373
2012,The Hunger Games,7.2,0.72,746473,PG-13,142,80000000,408010692,684510692,81171085,413983383,694530947
2012,The Impossible,7.6,0.76,160245,PG-13,114,40000000,19019882,169590606,40585543,19298306,172073169
2012,The Man with the Iron Fists,5.4,0.54,55647,R,95,15000000,15634090,21985095,15219578,15862951,22306925
2012,The Master,7.1,0.71,115543,R,144,37500000,16247159,25116740,38048946,16484994,25484413
2012,The Pirates! Band of Misfits,6.7,0.67,38752,PG,88,55000000,31051126,123056220,55805121,31505670,124857587
2012,The Place Beyond the Pines,7.3,0.73,204788,R,140,15000000,21403519,47011449,15219578,21716836,47699629
2012,The Twilight Saga: Breaking Dawn - Part 2,5.5,0.55,197322,PG-13,115,136200000,292324737,832660037,138193773,296603952,844848985
2012,The Vow,6.8,0.6799999999999999,159280,PG-13,104,8738320,125014030,197618160,8866236,126844056,200511006
2012,The Watch,5.7,0.5700000000000001,109412,R,102,55000000,34353e3,67353e3,55805121,34855879,68338951
2012,The Woman in Black,6.4,0.64,153358,PG-13,95,15000000,54333290,128955898,15219578,55128651,130843627
2012,The Words,7.1,0.71,64466,PG-13,102,6000000,11494838,12132578,6087831,11663106,12310182
2012,Think Like a Man,6.6,0.6599999999999999,36892,PG-13,122,12000000,91547205,96155124,12175663,92887325,97562697
2012,To Rome With Love,6.3,0.63,73407,R,112,21500000,16684352,74363777,21814729,16928587,75452356
2012,Total Recall,6.3,0.63,214191,PG-13,118,125000000,58877969,198615996,126829821,59739858,201523449
2012,Underworld: Awakening,6.4,0.64,129360,R,88,70000000,62321039,160379930,71024700,63233330,162727662
2012,Wanderlust,5.6,0.5599999999999999,65256,R,98,32500000,17288155,24159934,32975753,17541229,24513601
2012,What to Expect When You're Expecting,5.7,0.5700000000000001,61006,PG-13,110,37500000,41152203,80652203,38048946,41754612,81832836
2012,Won't Back Down,6.4,0.64,5481,PG,121,19000000,5310554,5431486,19278133,5388293,5510995
2012,Wrath of the Titans,5.8,0.58,161509,PG-13,99,150000000,83670083,301970083,152195785,84894893,306390492
2012,Wreck-It Ralph,7.7,0.77,297141,PG,101,165000000,189412677,473412677,167415363,192185407,480342759
2012,Zero Dark Thirty,7.4,0.74,230414,R,157,52500000,95720716,137720716,53268525,97121930,139736750
2011,30 Minutes or Less,6.1,0.61,82323,R,83,28000000,37053924,40966716,28999342,38376408,42428850
2011,50/50,7.7,0.77,285054,R,100,8000000,35016118,41334735,8285526,36265871,42810004
2011,A Dangerous Method,6.5,0.65,86598,R,99,20000000,5702083,14807531,20713816,5905595,15336023
2011,A Lonely Place to Die,6.3,0.63,23536,R,99,4000000,NA,442550,4142763,NA,458345
2011,A Very Harold & Kumar 3D Christmas,6.3,0.63,58345,R,90,20000000,35061031,36265745,20713816,36312387,37560098
2011,Another Earth,7,0.7,78641,PG-13,92,175000,1321194,1781194,181246,1368348,1844766
2011,Apollo 18,5.2,0.52,49005,PG-13,86,5000000,17686929,26517819,5178454,18318189,27464261
2011,Arthur Christmas,7.1,0.71,39094,PG,97,85000000,46462469,147624649,88033717,48120751,152893489
2011,Attack the Block,6.6,0.6599999999999999,87329,R,88,13000000,1024175,5406422,13463980,1060729,5599381
2011,Bad Teacher,5.7,0.5700000000000001,169276,R,92,19000000,100292856,216412265,19678125,103872387,224136189
